	Phylum
Bosea_genosp__Otu00191	Proteobacteria
Mycobacterium_uncl_Otu00192	Actinobacteria
Chthoniobacteraceae__uncl_83__Otu00198	Verrucomicrobia
Yonghaparkia_uncl_53__Otu00202	Actinobacteria
Variovorax_78__paradoxus_78__Otu00205	Proteobacteria
Verrucomicrobia_uncl_Otu00210	Verrucomicrobia
Conexibacter_uncl_77__Otu00213	Actinobacteria
Verrucomicrobia_uncl_Otu00214	Verrucomicrobia
Nakamurellaceae_uncl_Otu00217	Actinobacteria
Methylibium_uncl_79__Otu00218	Proteobacteria
Acidobacteriaceae_uncl_Otu00017	Acidobacteria
Mucilaginibacter_uncl_72__Otu00219	Bacteroidetes
Chthoniobacteraceae__uncl_55__Otu00224	Verrucomicrobia
Acidobacteriaceae_uncl_99__Otu00226	Acidobacteria
Chthoniobacterales__uncl_87__Otu00229	Verrucomicrobia
Acetobacteraceae_uncl_Otu00230	Proteobacteria
Beijerinckiaceae_uncl_57__Otu00233	Proteobacteria
Chitinophagaceae_uncl_Otu00235	Bacteroidetes
Beijerinckiaceae_uncl_70__Otu00248	Proteobacteria
Rhodospirillaceae_uncl_Otu00249	Proteobacteria
Acidobacteriaceae_uncl_95__Otu00258	Acidobacteria
Nostocaceae_uncl_Otu00020	Cyanobacteria
Sphingomonas_wittichii_Otu00265	Proteobacteria
Solirubrobacterales_uncl_Otu00267	Actinobacteria
Devosia_uncl_Otu00270	Proteobacteria
Phenylobacterium_uncl_99__Otu00272	Proteobacteria
Verrucomicrobia_uncl_Otu00275	Verrucomicrobia
Ellin506_uncl_Otu00276	Verrucomicrobia
Beijerinckiaceae_uncl_86__Otu00290	Proteobacteria
Chthoniobacteraceae__uncl_81__Otu00291	Verrucomicrobia
Actinomycetales_uncl_97__Otu00304	Actinobacteria
Proteobacteria_uncl_Otu00305	Proteobacteria
Others_uncl_Otu00021	Others
Micromonosporaceae_uncl_Otu00309	Actinobacteria
Mucilaginibacter_uncl_88__Otu00312	Bacteroidetes
Solibacterales_uncl_99__Otu00314	Acidobacteria
Chitinophagaceae_uncl_Otu00317	Bacteroidetes
Verrucomicrobia_uncl_Otu00318	Verrucomicrobia
Acetobacteraceae_uncl_Otu00319	Proteobacteria
Verrucomicrobia_uncl_Otu00324	Verrucomicrobia
Caulobacteraceae_uncl_95__Otu00326	Proteobacteria
Methylibium_uncl_98__Otu00344	Proteobacteria
Actinomycetales_uncl_97__Otu00348	Actinobacteria
Mucilaginibacter_jinjuensis_97__Otu00022	Bacteroidetes
Chthoniobacterales__uncl_93__Otu00358	Verrucomicrobia
Solirubrobacterales_uncl_Otu00363	Actinobacteria
Acetobacteraceae_uncl_Otu00373	Proteobacteria
Verrucomicrobia_uncl_Otu00378	Verrucomicrobia
Chitinophagaceae_uncl_Otu00381	Bacteroidetes
Sphingomonas_echinoides_95__Otu00383	Proteobacteria
Rhizobiales_uncl_89__Otu00390	Proteobacteria
Rhodospirillaceae_uncl_89__Otu00396	Proteobacteria
Sphingobacteriaceae_uncl_Otu00399	Bacteroidetes
Actinomycetales_uncl_54__Otu00429	Actinobacteria
Acidobacteriaceae_uncl_Otu00024	Acidobacteria
Bacteria_uncl_Otu00434	Others
Actinomycetales_uncl_98__Otu00443	Actinobacteria
Verrucomicrobia_uncl_Otu00455	Verrucomicrobia
Bacillus_uncl_58__Otu00460	Firmicutes
Comamonadaceae_uncl_99__Otu00468	Proteobacteria
Chitinophagaceae_uncl_Otu00475	Bacteroidetes
Halomonas_uncl_Otu00478	Proteobacteria
Cyanobacteria_uncl_Otu00518	Cyanobacteria
Mucilaginibacter_uncl_55__Otu00530	Bacteroidetes
Chthoniobacterales__uncl_96__Otu00539	Verrucomicrobia
Acetobacteraceae_uncl_Otu00025	Proteobacteria
Acetobacteraceae_uncl_Otu00550	Proteobacteria
Ellin506_uncl_Otu00580	Verrucomicrobia
Conexibacteraceae_uncl_99__Otu00584	Actinobacteria
Bdellovibrio_uncl_Otu00590	Proteobacteria
Cyanobacteria_uncl_Otu00596	Cyanobacteria
Chitinophagaceae_uncl_99__Otu00597	Bacteroidetes
Brevundimonas_63__staleyi_63__Otu00625	Proteobacteria
Rhodospirillaceae_uncl_58__Otu00645	Proteobacteria
Nostocaceae_uncl_70__Otu00665	Cyanobacteria
Frankiaceae_uncl_99__Otu00682	Actinobacteria
Rhizobiales_uncl_97__Otu00026	Proteobacteria
Cyanobacteria_uncl_Otu00720	Cyanobacteria
TM7-1_uncl_Otu00835	TM7
Alphaproteobacteria_uncl_Otu00928	Proteobacteria
Paucibacter_uncl_92__Otu00946	Proteobacteria
Methylibium_92__petroleiphilum_54__Otu01012	Proteobacteria
Nostocaceae_uncl_84__Otu01046	Cyanobacteria
Chthoniobacterales__uncl_52__Otu01290	Verrucomicrobia
Betaproteobacteria_uncl_Otu01354	Proteobacteria
Acetobacteraceae_uncl_Otu00027	Proteobacteria
Cyanobacteria_uncl_Otu00028	Cyanobacteria
Verrucomicrobia_uncl_Otu00031	Verrucomicrobia
Nostocaceae_uncl_Otu00002	Cyanobacteria
Acetobacteraceae_uncl_Otu00032	Proteobacteria
Caulobacteraceae_uncl_Otu00033	Proteobacteria
Bradyrhizobiaceae_uncl_84__Otu00034	Proteobacteria
Cyanobacteria_uncl_Otu00036	Cyanobacteria
Acetobacteraceae_uncl_Otu00037	Proteobacteria
Methylacidiphilales_uncl_Otu00038	Verrucomicrobia
Acetobacteraceae_uncl_Otu00040	Proteobacteria
Terriglobus_uncl_Otu00041	Acidobacteria
Acetobacteraceae_uncl_Otu00042	Proteobacteria
Acetobacteraceae_uncl_Otu00043	Proteobacteria
Cyanobacteria_uncl_Otu00003	Cyanobacteria
Acidobacteriaceae_uncl_96__Otu00044	Acidobacteria
Verrucomicrobia_uncl_Otu00045	Verrucomicrobia
Acetobacteraceae_uncl_Otu00047	Proteobacteria
Acidisoma_uncl_Otu00048	Proteobacteria
Methylobacterium_uncl_Otu00049	Proteobacteria
Acidobacteriaceae_uncl_Otu00052	Acidobacteria
Chthoniobacterales__uncl_99__Otu00055	Verrucomicrobia
Beijerinckiaceae_uncl_97__Otu00056	Proteobacteria
Acidobacteriaceae_uncl_95__Otu00057	Acidobacteria
Chthoniobacteraceae__uncl_66__Otu00058	Verrucomicrobia
Nostoc_uncl_Otu00004	Cyanobacteria
Acetobacteraceae_uncl_Otu00060	Proteobacteria
Beijerinckia_uncl_76__Otu00062	Proteobacteria
Chthoniobacteraceae__uncl_82__Otu00063	Verrucomicrobia
Mucilaginibacter_uncl_Otu00064	Bacteroidetes
Methylocystaceae_uncl_98__Otu00065	Proteobacteria
Acetobacteraceae_uncl_Otu00067	Proteobacteria
Rhizobiales_uncl_90__Otu00068	Proteobacteria
Oxalobacteraceae_uncl_99__Otu00069	Proteobacteria
Acidocella_uncl_90__Otu00070	Proteobacteria
Zymomonas_uncl_99__Otu00071	Proteobacteria
Cyanobacteria_uncl_Otu00005	Cyanobacteria
Acetobacteraceae_uncl_Otu00072	Proteobacteria
