	Lichen
MG996731_1	Yes
GU300236_1	No
JX967285_1	Yes
HQ333277_1	No
HM240934_1	No
LN614695_1	No
JX967294_1	Yes
AM940729_1	No
JN023390_1	Yes
LN929548_1	No
JX098367_1	No
JN023294_1	Yes
FR749823_1	No
KT752896_1	No
EU083407_1	No
JQ381812_2	No
NR_118023_1	No
HQ595216_1	No
JQ480554_1	No
EF220623_1	No
KU219090_1	No
EU861940_1	No
EF221408_1	No
HF546516_1	Yes
HF546512_1	Yes
HF546509_1	Yes
FJ475466_1	No
KX467876_1	No
MH530970_1	No
JF907343_1	No
KU219013_1	No
JX967352_1	Yes
MF423481_1	Yes
AF428513_1	Yes
Otu00008	Yes
Otu00012	Yes
Otu00015	Yes
Otu00016	Yes
Otu00017	Yes
Otu00018	Yes
Otu00019	Yes
Otu00026	Yes
Otu00032	Yes
Otu00036	Yes
Otu00037	Yes
Otu00041	Yes
Otu00042	Yes
Otu00047	Yes
Otu00062	Yes
Otu00112	Yes
