sid	Group	Lichen	Sustrate
Cla_A_Chi	Chingaza	Cladonia	SAX
Cla_K1_Chi	Chingaza	Cladonia	TER
Cla_K2_Chi	Chingaza	Cladonia	TER
Cla_L_Chi	Chingaza	Cladonia	TER
Co_A_Chi	Chingaza	Cora	SAX
Co_H1_Chi	Chingaza	Cora	COR
Co_H2_Chi	Chingaza	Cora	COR
Co_I_Chi	Chingaza	Cora	TER
Co_L_Chi	Chingaza	Cora	TER
Hyp_B_Chi	Chingaza	Hypotrachyna	COR
Hyp_H_Chi	Chingaza	Hypotrachyna	TER
Hyp_M_Chi	Chingaza	Hypotrachyna	SAX
Hyp_N_Chi	Chingaza	Hypotrachyna	SAX
Ptg_C_Chi	Chingaza	Peltigera	COR
Ptg_N_Chi	Chingaza	Peltigera	SAX
Stc_A_Chi	Chingaza	Stereocaulon	SAX
Stc_J_Chi	Chingaza	Stereocaulon	SAX
Stc_L_Chi	Chingaza	Stereocaulon	TER
Stt_A_Chi	Chingaza	Sticta	COR
Stt_B_Chi	Chingaza	Sticta	COR
Stt_C_Chi	Chingaza	Sticta	COR
Stt_E_Chi	Chingaza	Sticta	COR
Stt_F_Chi	Chingaza	Sticta	COR
Us_E_Chi	Chingaza	Usnea	COR
Us_G_Chi	Chingaza	Usnea	COR
Us_K_Chi	Chingaza	Usnea	COR
Cla_B_Nev	Nevados	Cladonia	TER
Cla_C_Nev	Nevados	Cladonia	TER
Cla_D_Nev	Nevados	Cladonia	COR
Cla_E_Nev	Nevados	Cladonia	TER
Cla_F_Nev	Nevados	Cladonia	TER
Co_B_Nev	Nevados	Cora	TER
Co_F_Nev	Nevados	Cora	TER
Hyp_C_Nev	Nevados	Hypotrachyna	COR
Hyp_E_Nev	Nevados	Hypotrachyna	COR
Hyp_F_Nev	Nevados	Hypotrachyna	COR
Ptg_F_Nev	Nevados	Peltigera	TER
Stc_A_Nev	Nevados	Stereocaulon	TER
Stc_B_Nev	Nevados	Stereocaulon	TER
Stc_D_Nev	Nevados	Stereocaulon	TER
Stc_F_Nev	Nevados	Stereocaulon	TER
Stt_C_Nev	Nevados	Sticta	COR
Stt_D_Nev	Nevados	Sticta	TER
Us_A_Nev	Nevados	Usnea	COR
Us_C_Nev	Nevados	Usnea	COR
Us_D_Nev	Nevados	Usnea	COR
Us_E_Nev	Nevados	Usnea	COR
