OTU	Size	Taxonomy
Otu00001	298890	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Rahnella(60);aquatilis(60);
Otu00002	166250	Bacteria;Cyanobacteria;Nostocophycideae;Nostocales;Nostocaceae;Nostocaceae_unclassified;Nostocaceae_unclassified;
Otu00003	130439	Bacteria;Cyanobacteria;Cyanobacteria_unclassified;Cyanobacteria_unclassified;Cyanobacteria_unclassified;Cyanobacteria_unclassified;Cyanobacteria_unclassified;
Otu00004	120548	Bacteria;Cyanobacteria;Nostocophycideae;Nostocales;Nostocaceae;Nostoc;Nostoc_unclassified;
Otu00005	88838	Bacteria;Cyanobacteria;Cyanobacteria_unclassified;Cyanobacteria_unclassified;Cyanobacteria_unclassified;Cyanobacteria_unclassified;Cyanobacteria_unclassified;
Otu00006	88267	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Rahnella(97);aquatilis(97);
Otu00007	58811	Bacteria;Cyanobacteria;Nostocophycideae;Nostocales;Nostocaceae;Nostoc(96);Nostoc_unclassified(96);
Otu00008	33822	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiales_unclassified(96);Rhizobiales_unclassified(96);Rhizobiales_unclassified(96);
Otu00009	29196	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Enterobacteriaceae_unclassified;Enterobacteriaceae_unclassified;
Otu00010	24383	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas_unclassified(56);
Otu00011	23030	Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Caulobacteraceae_unclassified(98);Caulobacteraceae_unclassified(98);
Otu00012	22714	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Beijerinckiaceae_unclassified;Beijerinckiaceae_unclassified;
Otu00013	22697	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;Sphingomonas_unclassified(59);
Otu00014	22309	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Sinobacteraceae;Sinobacteraceae_unclassified;Sinobacteraceae_unclassified;
Otu00015	22152	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacteraceae_unclassified;Acetobacteraceae_unclassified;
Otu00016	22124	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Novosphingobium(70);Novosphingobium_unclassified(70);
Otu00017	22031	Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Acidobacteriaceae_unclassified;Acidobacteriaceae_unclassified;
Otu00018	21786	Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Granulicella(86);aggregans(61);
Otu00019	20585	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiales_unclassified(92);Rhizobiales_unclassified(92);Rhizobiales_unclassified(92);
Otu00020	18208	Bacteria;Cyanobacteria;Nostocophycideae;Nostocales;Nostocaceae;Nostocaceae_unclassified;Nostocaceae_unclassified;
Otu00021	17999	Bacteria;Others;Others_unclassified;Others_unclassified;Others_unclassified;Others_unclassified;Others_unclassified;
Otu00022	15930	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Mucilaginibacter;jinjuensis(97);
Otu00023	15309	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae(69);Beijerinckiaceae_unclassified(58);Beijerinckiaceae_unclassified(58);
Otu00024	13874	Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Acidobacteriaceae_unclassified;Acidobacteriaceae_unclassified;
Otu00025	13667	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacteraceae_unclassified;Acetobacteraceae_unclassified;
Otu00026	12270	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiales_unclassified(97);Rhizobiales_unclassified(97);Rhizobiales_unclassified(97);
Otu00027	11884	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacteraceae_unclassified;Acetobacteraceae_unclassified;
Otu00028	11853	Bacteria;Cyanobacteria;Cyanobacteria_unclassified;Cyanobacteria_unclassified;Cyanobacteria_unclassified;Cyanobacteria_unclassified;Cyanobacteria_unclassified;
Otu00029	11608	Bacteria;Cyanobacteria;Nostocophycideae;Nostocales;Nostocaceae;Nostocaceae_unclassified;Nostocaceae_unclassified;
Otu00030	11585	Bacteria;Cyanobacteria;Cyanobacteria_unclassified;Cyanobacteria_unclassified;Cyanobacteria_unclassified;Cyanobacteria_unclassified;Cyanobacteria_unclassified;
Otu00031	11177	Bacteria;Verrucomicrobia;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;
Otu00032	10932	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacteraceae_unclassified;Acetobacteraceae_unclassified;
Otu00033	10759	Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Caulobacteraceae_unclassified;Caulobacteraceae_unclassified;
Otu00034	10657	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Bradyrhizobiaceae_unclassified(84);Bradyrhizobiaceae_unclassified(84);
Otu00035	10318	Bacteria;Cyanobacteria;Nostocophycideae;Nostocales;Nostocaceae;Nostoc(95);Nostoc_unclassified(95);
Otu00036	10186	Bacteria;Cyanobacteria;Cyanobacteria_unclassified;Cyanobacteria_unclassified;Cyanobacteria_unclassified;Cyanobacteria_unclassified;Cyanobacteria_unclassified;
Otu00037	9644	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacteraceae_unclassified;Acetobacteraceae_unclassified;
Otu00038	9432	Bacteria;Verrucomicrobia;[Methylacidiphilae];Methylacidiphilales;Methylacidiphilales_unclassified;Methylacidiphilales_unclassified;Methylacidiphilales_unclassified;
Otu00039	9061	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylocystaceae(98);Methylocystaceae_unclassified(98);Methylocystaceae_unclassified(98);
Otu00040	8982	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacteraceae_unclassified;Acetobacteraceae_unclassified;
Otu00041	8792	Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Terriglobus;Terriglobus_unclassified;
Otu00042	8696	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacteraceae_unclassified;Acetobacteraceae_unclassified;
Otu00043	8641	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacteraceae_unclassified;Acetobacteraceae_unclassified;
Otu00044	8354	Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Acidobacteriaceae_unclassified(96);Acidobacteriaceae_unclassified(96);
Otu00045	8123	Bacteria;Verrucomicrobia;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;
Otu00046	8083	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas(99);Sphingomonas_unclassified(99);
Otu00047	7995	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacteraceae_unclassified;Acetobacteraceae_unclassified;
Otu00048	7799	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidisoma;Acidisoma_unclassified;
Otu00049	7636	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylobacteriaceae;Methylobacterium;Methylobacterium_unclassified;
Otu00050	7079	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Sinobacteraceae;Sinobacteraceae_unclassified;Sinobacteraceae_unclassified;
Otu00051	6841	Bacteria;Acidobacteria;Solibacteres;Solibacterales;PK34(59);PK34_unclassified(59);PK34_unclassified(59);
Otu00052	6833	Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Acidobacteriaceae_unclassified;Acidobacteriaceae_unclassified;
